Tipo de Comprobante	Codigo Unidad de Negocio	Descripción unidad de negocio	num_doc	tipo_doc	mes	año	Fecha contable	UF	fecha pago factura	RUT proveedor	Razon Social Proveedor	exento_detalle	exento_detalle_uf	afecto_detalle	afecto_detalle_uf	iva_detalle	total_por_documento	concepto1_codigo	concepto1	centro_de_costo	observaciones	Glosa encabezado comprobante	Glosa detalle comprobante	cuenta_contable
T-124	01	OF. CENTRAL ICEMM	6	BOR	9	2025	2025-09-10	39485.65	10/09/2025	16944790-K	PABLO ANDRE SARDA YANTEN	1754386	44.43097682322566				1500000	910	910	01	BX-6 PABLO SARDA/ESTUDIO PROYECTO CAMOENS	BOR - 6: BX-6 PABLO SARDA/ESTUDIO PROYECTO CAMOENS	Servicio	1-2-01-009
T-125	01	OF. CENTRAL ICEMM	14887348	BOH	10	2025	2025-10-27	39577.28	27/10/2025	60306045-8	CONSERVADOR DE BIENES RAICES DE SANTIAGO	4600	0.1162283006816032				4600	912	912	01	BX-14887348 CBR- DERECHOS POR ACTUACION	BOH - 14887348: BX-14887348 CBR- DERECHOS POR ACTUACION	Servicio	1-2-01-009
T-126	01	OF. CENTRAL ICEMM	100893	BOH	10	2025	2025-10-30	39592.57	30/10/2025	9493719-1	VALERIA DEL CARMEN RONCHERA FLORES	45000	1.136576888037326				45000	912	912	01	BX-100893 VALERIA RONCHERA- MANDATO	BOH - 100893: BX-100893 VALERIA RONCHERA- MANDATO	Servicio	1-2-01-009
T-127	01	OF. CENTRAL ICEMM	9	BOR	12	2025	2025-12-23	39697.26	23/12/2025	15421789-4	JUAN FRANCISCO CARRASCO ARAYA	584795	14.7313693690698				500000	910	910	01	BX-9 JUAN CARRASCO- CAPACITACION SOFTWARE CONTABLE	BOR - 9: BX-9 JUAN CARRASCO- CAPACITACION SOFTWARE CONTABLE	Servicio	1-2-01-009
T-128	01	OF. CENTRAL ICEMM	6	BOR	12	2025	2025-12-04	39643.59	04/12/2025	15618656-2	PAULO ANDRES ORELLANA MALDONADO	233918	5.900525154255707				200000	910	910	01	BX-6 PAULO ORELLANA-CAPACITACION SOFTWARE RECURSOS HUMANOS (REX) (EXENTO DE IVA)	BOR - 6: BX-6 PAULO ORELLANA-CAPACITACION SOFTWARE RECURSOS HUMANOS (REX) (EXENTO DE IVA)	Servicio	1-2-01-009
T-133	01	OF. CENTRAL ICEMM	6	BOR	9	2025	2025-09-10	39485.65	10/09/2025	16944790-K	PABLO ANDRE SARDA YANTEN	-1754386	-44.43097682322566				1500000	910	910	01	BX-6 PABLO SARDA/ESTUDIO PROYECTO CAMOENS	Anula BOR - 6: BX-6 PABLO SARDA/ESTUDIO PROYECTO CAMOENS	Servicio	1-2-01-009
T-134	01	OF. CENTRAL ICEMM	6	BOR	12	2025	2025-12-04	39643.59	04/12/2025	15618656-2	PAULO ANDRES ORELLANA MALDONADO	-233918	-5.900525154255707				200000	910	910	01	BX-6 PAULO ORELLANA-CAPACITACION SOFTWARE RECURSOS HUMANOS (REX) (EXENTO DE IVA)	Anula BOR - 6: BX-6 PAULO ORELLANA-CAPACITACION SOFTWARE RECURSOS HUMANOS (REX) (EXENTO DE IVA)	Servicio	1-2-01-009
T-135	01	OF. CENTRAL ICEMM	9	BOR	12	2025	2025-12-23	39697.26	23/12/2025	15421789-4	JUAN FRANCISCO CARRASCO ARAYA	-584795	-14.7313693690698				500000	910	910	01	BX-9 JUAN CARRASCO- CAPACITACION SOFTWARE CONTABLE	Anula BOR - 9: BX-9 JUAN CARRASCO- CAPACITACION SOFTWARE CONTABLE	Servicio	1-2-01-009
T-136	01	OF. CENTRAL ICEMM	100893	BOH	10	2025	2025-10-30	39592.57	30/10/2025	9493719-1	VALERIA DEL CARMEN RONCHERA FLORES	-45000	-1.136576888037326				45000	912	912	01	BX-100893 VALERIA RONCHERA- MANDATO	Anula BOH - 100893: BX-100893 VALERIA RONCHERA- MANDATO	Servicio	1-2-01-009
T-137	01	OF. CENTRAL ICEMM	6	BOH	9	2025	2025-09-10	39485.65	10/09/2025	16944790-K	PABLO ANDRE SARDA YANTEN	1754386	44.43097682322566				1754386	910	910	01	BX-6 PABLO SARDA-ESTUDIO PROYECTO CAMOENS	BOH - 6: BX-6 PABLO SARDA-ESTUDIO PROYECTO CAMOENS	Servicio	1-2-01-009
T-138	01	OF. CENTRAL ICEMM	14887348	BOH	10	2025	2025-10-27	39577.28	27/10/2025	60306045-8	CONSERVADOR DE BIENES RAICES DE SANTIAGO	-4600	-0.1162283006816032				4600	912	912	01	BX-14887348 CBR- DERECHOS POR ACTUACION	Anula BOH - 14887348: BX-14887348 CBR- DERECHOS POR ACTUACION	Servicio	1-2-01-009
T-139	01	OF. CENTRAL ICEMM	6	BOH	9	2025	2025-09-10	39485.65	10/09/2025	16944790-K	PABLO ANDRE SARDA YANTEN	-1754386	-44.43097682322566				1754386	910	910	01	BX-6 PABLO SARDA-ESTUDIO PROYECTO CAMOENS	Anula BOH - 6: BX-6 PABLO SARDA-ESTUDIO PROYECTO CAMOENS	Servicio	1-2-01-009
T-140	01	OF. CENTRAL ICEMM	6	BOR	9	2025	2025-09-10	39485.65	10/09/2025	16944790-K	PABLO ANDRE SARDA YANTEN	1754386	44.43097682322566				1500000	910	910	01	BX-6 PABLO SARDA	BOR - 6: BX-6 PABLO SARDA	Servicio	1-2-01-009
T-141	01	OF. CENTRAL ICEMM	14887348	BOH	10	2025	2025-10-27	39577.28	27/10/2025	60306045-8	CONSERVADOR DE BIENES RAICES DE SANTIAGO	4600	0.1162283006816032				4600	912	912	01	BX-14887348 CBR-DERECHOS POR ACTUACION	BOH - 14887348: BX-14887348 CBR-DERECHOS POR ACTUACION	Servicio	1-2-01-009
T-144	01	OF. CENTRAL ICEMM	100893	BOH	10	2025	2025-10-30	39592.57	30/10/2025	9493719-1	VALERIA DEL CARMEN RONCHERA FLORES	45000	1.136576888037326				45000	912	912	01	BX-100893 VALERIA RONCHERA-MANDATO	BOH - 100893: BX-100893 VALERIA RONCHERA-MANDATO	Servicio	1-2-01-009
T-146	01	OF. CENTRAL ICEMM	9	BOR	11	2025	2025-11-10	39643.59	10/11/2025	15421789-4	JUAN FRANCISCO CARRASCO ARAYA	584795	14.75131288563927				500000	910	910	01	BX-9 JUAN CARRASCO-CAPACITACION SOFTWARE CONTABLE	BOR - 9: BX-9 JUAN CARRASCO-CAPACITACION SOFTWARE CONTABLE	Servicio	1-2-01-009
T-148	01	OF. CENTRAL ICEMM	14887348	BOH	10	2025	2025-10-27	39577.28	27/10/2025	60306045-8	CONSERVADOR DE BIENES RAICES DE SANTIAGO	-4600	-0.1162283006816032				4600	912	912	01	BX-14887348 CBR-DERECHOS POR ACTUACION	Anula BOH - 14887348: BX-14887348 CBR-DERECHOS POR ACTUACION	Servicio	1-2-01-009
T-149	01	OF. CENTRAL ICEMM	100893	BOH	10	2025	2025-10-30	39592.57	30/10/2025	9493719-1	VALERIA DEL CARMEN RONCHERA FLORES	-45000	-1.136576888037326				45000	912	912	01	BX-100893 VALERIA RONCHERA-MANDATO	Anula BOH - 100893: BX-100893 VALERIA RONCHERA-MANDATO	Servicio	1-2-01-009
T-150	01	OF. CENTRAL ICEMM	14887348	BOH	10	2025	2025-10-27	39577.28	27/10/2025	60306045-8	CONSERVADOR DE BIENES RAICES DE SANTIAGO	4600	0.1162283006816032				4600	912	912	01	BX-14887348 CBR- DERECHOS POR ACTUACION	BOH - 14887348: BX-14887348 CBR- DERECHOS POR ACTUACION	Servicio	1-2-01-009
T-152	01	OF. CENTRAL ICEMM	100893	BOH	10	2025	2025-10-30	39592.57	30/10/2025	9493719-1	VALERIA DEL CARMEN RONCHERA FLORES	45000	1.136576888037326				45000	912	912	01	BX-100893 VALERIA RONCHERA-MANDATO	BOH - 100893: BX-100893 VALERIA RONCHERA-MANDATO	Servicio	1-2-01-009
T-153	01	OF. CENTRAL ICEMM	6	BOR	12	2025	2025-12-04	39643.59	04/12/2025	15618656-2	PAULO ANDRES ORELLANA MALDONADO	233918	5.900525154255707				200000	910	910	01	BX-6 PAULO ORELLANA- APOYO CONFIGURACION SISTEMA RRHH	BOR - 6: BX-6 PAULO ORELLANA- APOYO CONFIGURACION SISTEMA RRHH	Servicio	1-2-01-009
T-16	01	OF. CENTRAL ICEMM	287178	FACE	7	2025	2025-07-14	39265.22	13/08/2025	79936340-2	MANAGER SOFTWARE S.A.	0	0	-823566	-20.97443997512302	-156477.54	980044	902	902	01	F/287178 Manager Software S.A.	Anula FACE - 287178: F/287178 Manager Software S.A.	Servicio	1-2-01-010
T-160	01	OF. CENTRAL ICEMM	6	BOR	12	2025	2025-12-04	39643.59	04/12/2025	15618656-2	PAULO ANDRES ORELLANA MALDONADO	-233918	-5.900525154255707				200000	910	910	01	BX-6 PAULO ORELLANA- APOYO CONFIGURACION SISTEMA RRHH	Anula BOR - 6: BX-6 PAULO ORELLANA- APOYO CONFIGURACION SISTEMA RRHH	Servicio	1-2-01-009
T-161	01	OF. CENTRAL ICEMM	6	BOR	12	2025	2025-12-04	39643.59	04/12/2025	15618656-2	PAULO ANDRES ORELLANA MALDONADO	233918	5.900525154255707				200000	910	910	01	BX-6 PAULO ORELLANA-  APOYO CONFIGURACION SISTEMA RRHH	BOR - 6: BX-6 PAULO ORELLANA-  APOYO CONFIGURACION SISTEMA RRHH	Servicio	1-2-01-009
T-167	01	OF. CENTRAL ICEMM			11	2025	2025-11-30	39643.59				-823566	-20.77425379487579					902	902			RECLASIFICA CUENTA GTO GENERALES OF CENTRAL	F/287178 Manager Software S.A.	1-2-01-009
T-167	01	OF. CENTRAL ICEMM			11	2025	2025-11-30	39643.59				-823566	-20.77425379487579					902	902			RECLASIFICA CUENTA GTO GENERALES OF CENTRAL	F/290913 MANAGER SOFTWARE S.A.	1-2-01-009
T-167	01	OF. CENTRAL ICEMM			11	2025	2025-11-30	39643.59				823566	20.77425379487579					902	902			RECLASIFICA CUENTA GTO GENERALES OF CENTRAL	NC/8626 MANAGER SOFTWARE S.A.	1-2-01-009
T-167	01	OF. CENTRAL ICEMM			11	2025	2025-11-30	39643.59				-500000	-12.61237945403027					902	902			RECLASIFICA CUENTA GTO GENERALES OF CENTRAL	F/6176 ASESORIAS PROGRAMAS Y TEXTOS COMPUTACIONALES LTDA.	1-2-01-009
T-167	01	OF. CENTRAL ICEMM			11	2025	2025-11-30	39643.59				-279850	-7.059148780420744					902	902			RECLASIFICA CUENTA GTO GENERALES OF CENTRAL	FACE/9375/76818350-3/ASESORIAS PROHARDWARE SPA	1-2-01-009
T-167	01	OF. CENTRAL ICEMM			11	2025	2025-11-30	39643.59				-105807	-2.668956065785162					902	902			RECLASIFICA CUENTA GTO GENERALES OF CENTRAL	FACE/3148718/96928180-5/EMPRESA NACIONAL DE CERTIFICACION ELECTRONICA S A	1-2-01-009
T-167	01	OF. CENTRAL ICEMM			11	2025	2025-11-30	39643.59				-327461	-8.260124776792415					902	902			RECLASIFICA CUENTA GTO GENERALES OF CENTRAL	FACE/9428/76818350-3/ASESORIAS PROHARDWARE SPA	1-2-01-009
T-167	01	OF. CENTRAL ICEMM			11	2025	2025-11-30	39643.59				-587381	-14.81654411217551					902	902			RECLASIFICA CUENTA GTO GENERALES OF CENTRAL	FACE/318/78710720-6/SERVICIOS SANVEST SPA	1-2-01-009
T-167	01	OF. CENTRAL ICEMM			11	2025	2025-11-30	39643.59				-829199	-20.9163448618049					902	902			RECLASIFICA CUENTA GTO GENERALES OF CENTRAL	FACE/994/76146217-2/GOOSE DESIGN SPA	1-2-01-009
T-167	01	OF. CENTRAL ICEMM			11	2025	2025-11-30	39643.59				-137340	-3.464368388433035					904	904			RECLASIFICA CUENTA GTO GENERALES OF CENTRAL	F/104235 TEKKROM ACCION GRAFICA COMPANIA LIMITADA	1-2-01-009
T-167	01	OF. CENTRAL ICEMM			11	2025	2025-11-30	39643.59				-24336	-0.6138697327865614					904	904			RECLASIFICA CUENTA GTO GENERALES OF CENTRAL	F/104713 TEK-KROM ACCION GRAFICA COMPANIA LIMITADA	1-2-01-009
T-167	01	OF. CENTRAL ICEMM			11	2025	2025-11-30	39643.59				-6960	-0.1755643220001014					904	904			RECLASIFICA CUENTA GTO GENERALES OF CENTRAL	F/104712 TEK-KROM ACCION GRAFICA COMPANIA LIMITADA	1-2-01-009
T-167	01	OF. CENTRAL ICEMM			11	2025	2025-11-30	39643.59				-6900	-0.1740508364656178					904	904			RECLASIFICA CUENTA GTO GENERALES OF CENTRAL	F/104711 TEK-KROM ACCION GRAFICA COMPANIA LIMITADA	1-2-01-009
T-167	01	OF. CENTRAL ICEMM			11	2025	2025-11-30	39643.59				-236914	-5.976098531944256					905	905			RECLASIFICA CUENTA GTO GENERALES OF CENTRAL	FCEE - 191: FCEE/191/99546270-2/ERGOTEC MUEBLES S A	1-2-01-009
T-167	01	OF. CENTRAL ICEMM			11	2025	2025-11-30	39643.59				-237739	-5.996908958043407					905	905			RECLASIFICA CUENTA GTO GENERALES OF CENTRAL	FCEE - 195: FCEE/195/99546270-2/ERGOTEC MUEBLES S A	1-2-01-009
T-167	01	OF. CENTRAL ICEMM			11	2025	2025-11-30	39643.59				-1754386	-44.25396388167671					910	910			RECLASIFICA CUENTA GTO GENERALES OF CENTRAL	BX-6 PABLO SARDA	1-2-01-009
T-167	01	OF. CENTRAL ICEMM			11	2025	2025-11-30	39643.59				-620455	-15.65082778830071					910	910			RECLASIFICA CUENTA GTO GENERALES OF CENTRAL	FACE/5/78142464-1/LUFKE INGENIERIA ELECTRICA SPA	1-2-01-009
T-167	01	OF. CENTRAL ICEMM			11	2025	2025-11-30	39643.59				-525000	-13.24299842673179					910	910			RECLASIFICA CUENTA GTO GENERALES OF CENTRAL	FCEE/5/78229878-K/INFINIA CONSULTING LIMITADA	1-2-01-009
T-167	01	OF. CENTRAL ICEMM			11	2025	2025-11-30	39643.59				-7581266	-191.2356070678765					910	910			RECLASIFICA CUENTA GTO GENERALES OF CENTRAL	FACE/327/78710720-6/SERVICIOS SANVEST SPA	1-2-01-009
T-167	01	OF. CENTRAL ICEMM			11	2025	2025-11-30	39643.59				584795	14.75131288563927					910	910			RECLASIFICA CUENTA GTO GENERALES OF CENTRAL	BX-9 JUAN CARRASCO-CAPACITACION SOFTWARE CONTABLE	4-2-02-002
T-167	01	OF. CENTRAL ICEMM			11	2025	2025-11-30	39643.59				-584795	-14.75131288563927					910	910			RECLASIFICA CUENTA GTO GENERALES OF CENTRAL	BX-9 JUAN CARRASCO-CAPACITACION SOFTWARE CONTABLE	1-2-01-009
T-167	01	OF. CENTRAL ICEMM			11	2025	2025-11-30	39643.59				-19980	-0.5039906829830497					911	911			RECLASIFICA CUENTA GTO GENERALES OF CENTRAL	F/1064687 UNIVERSIDAD DE CHILE	1-2-01-009
T-167	01	OF. CENTRAL ICEMM			11	2025	2025-11-30	39643.59				-37500	-0.9459284590522705					911	911			RECLASIFICA CUENTA GTO GENERALES OF CENTRAL	FACE/5929/76025577-7/ZNETWORKS E.I.R.L.	1-2-01-009
T-167	01	OF. CENTRAL ICEMM			11	2025	2025-11-30	39643.59				-671256	-16.93227076558909					911	911			RECLASIFICA CUENTA GTO GENERALES OF CENTRAL	FACE/994/76146217-2/GOOSE DESIGN SPA	1-2-01-009
T-167	01	OF. CENTRAL ICEMM			11	2025	2025-11-30	39643.59				750227	18.92429520131754					911	911			RECLASIFICA CUENTA GTO GENERALES OF CENTRAL	NC/71/76146217-2/GOOSE DESIGN SPA	1-2-01-009
T-167	01	OF. CENTRAL ICEMM			11	2025	2025-11-30	39643.59				-4600	-0.1160338909770785					912	912			RECLASIFICA CUENTA GTO GENERALES OF CENTRAL	BX-14887348 CBR- DERECHOS POR ACTUACION	1-2-01-009
T-167	01	OF. CENTRAL ICEMM			11	2025	2025-11-30	39643.59				-45000	-1.135114150862724					912	912			RECLASIFICA CUENTA GTO GENERALES OF CENTRAL	BX-100893 VALERIA RONCHERA-MANDATO	1-2-01-009
T-17	01	OF. CENTRAL ICEMM	287178	FACE	7	2025	2025-07-14	39265.22	31/08/2025	79936340-2	MANAGER SOFTWARE S.A.	0	0	823566	20.97443997512302	156477.54	980044	902	902	01	F/287178 Manager Software S.A.	FACE - 287178: F/287178 Manager Software S.A.	Servicio	1-2-01-009
T-170	01	OF. CENTRAL ICEMM			11	2025	2025-11-30	39643.59				823566	20.77425379487579					902	902			Reversa T - 167: RECLASIFICA CUENTA GTO GENERALES OF CENTRAL	F/287178 Manager Software S.A.	1-2-01-009
T-170	01	OF. CENTRAL ICEMM			11	2025	2025-11-30	39643.59				823566	20.77425379487579					902	902			Reversa T - 167: RECLASIFICA CUENTA GTO GENERALES OF CENTRAL	F/290913 MANAGER SOFTWARE S.A.	1-2-01-009
T-170	01	OF. CENTRAL ICEMM			11	2025	2025-11-30	39643.59				500000	12.61237945403027					902	902			Reversa T - 167: RECLASIFICA CUENTA GTO GENERALES OF CENTRAL	F/6176 ASESORIAS PROGRAMAS Y TEXTOS COMPUTACIONALES LTDA.	1-2-01-009
T-170	01	OF. CENTRAL ICEMM			11	2025	2025-11-30	39643.59				279850	7.059148780420744					902	902			Reversa T - 167: RECLASIFICA CUENTA GTO GENERALES OF CENTRAL	FACE/9375/76818350-3/ASESORIAS PROHARDWARE SPA	1-2-01-009
T-170	01	OF. CENTRAL ICEMM			11	2025	2025-11-30	39643.59				105807	2.668956065785162					902	902			Reversa T - 167: RECLASIFICA CUENTA GTO GENERALES OF CENTRAL	FACE/3148718/96928180-5/EMPRESA NACIONAL DE CERTIFICACION ELECTRONICA S A	1-2-01-009
T-170	01	OF. CENTRAL ICEMM			11	2025	2025-11-30	39643.59				327461	8.260124776792415					902	902			Reversa T - 167: RECLASIFICA CUENTA GTO GENERALES OF CENTRAL	FACE/9428/76818350-3/ASESORIAS PROHARDWARE SPA	1-2-01-009
T-170	01	OF. CENTRAL ICEMM			11	2025	2025-11-30	39643.59				587381	14.81654411217551					902	902			Reversa T - 167: RECLASIFICA CUENTA GTO GENERALES OF CENTRAL	FACE/318/78710720-6/SERVICIOS SANVEST SPA	1-2-01-009
T-170	01	OF. CENTRAL ICEMM			11	2025	2025-11-30	39643.59				829199	20.9163448618049					902	902			Reversa T - 167: RECLASIFICA CUENTA GTO GENERALES OF CENTRAL	FACE/994/76146217-2/GOOSE DESIGN SPA	1-2-01-009
T-170	01	OF. CENTRAL ICEMM			11	2025	2025-11-30	39643.59				-823566	-20.77425379487579					902	902			Reversa T - 167: RECLASIFICA CUENTA GTO GENERALES OF CENTRAL	NC/8626 MANAGER SOFTWARE S.A.	1-2-01-009
T-170	01	OF. CENTRAL ICEMM			11	2025	2025-11-30	39643.59				137340	3.464368388433035					904	904			Reversa T - 167: RECLASIFICA CUENTA GTO GENERALES OF CENTRAL	F/104235 TEKKROM ACCION GRAFICA COMPANIA LIMITADA	1-2-01-009
T-170	01	OF. CENTRAL ICEMM			11	2025	2025-11-30	39643.59				24336	0.6138697327865614					904	904			Reversa T - 167: RECLASIFICA CUENTA GTO GENERALES OF CENTRAL	F/104713 TEK-KROM ACCION GRAFICA COMPANIA LIMITADA	1-2-01-009
T-170	01	OF. CENTRAL ICEMM			11	2025	2025-11-30	39643.59				6960	0.1755643220001014					904	904			Reversa T - 167: RECLASIFICA CUENTA GTO GENERALES OF CENTRAL	F/104712 TEK-KROM ACCION GRAFICA COMPANIA LIMITADA	1-2-01-009
T-170	01	OF. CENTRAL ICEMM			11	2025	2025-11-30	39643.59				6900	0.1740508364656178					904	904			Reversa T - 167: RECLASIFICA CUENTA GTO GENERALES OF CENTRAL	F/104711 TEK-KROM ACCION GRAFICA COMPANIA LIMITADA	1-2-01-009
T-170	01	OF. CENTRAL ICEMM			11	2025	2025-11-30	39643.59				236914	5.976098531944256					905	905			Reversa T - 167: RECLASIFICA CUENTA GTO GENERALES OF CENTRAL	FCEE - 191: FCEE/191/99546270-2/ERGOTEC MUEBLES S A	1-2-01-009
T-170	01	OF. CENTRAL ICEMM			11	2025	2025-11-30	39643.59				237739	5.996908958043407					905	905			Reversa T - 167: RECLASIFICA CUENTA GTO GENERALES OF CENTRAL	FCEE - 195: FCEE/195/99546270-2/ERGOTEC MUEBLES S A	1-2-01-009
T-170	01	OF. CENTRAL ICEMM			11	2025	2025-11-30	39643.59				1754386	44.25396388167671					910	910			Reversa T - 167: RECLASIFICA CUENTA GTO GENERALES OF CENTRAL	BX-6 PABLO SARDA	1-2-01-009
T-170	01	OF. CENTRAL ICEMM			11	2025	2025-11-30	39643.59				620455	15.65082778830071					910	910			Reversa T - 167: RECLASIFICA CUENTA GTO GENERALES OF CENTRAL	FACE/5/78142464-1/LUFKE INGENIERIA ELECTRICA SPA	1-2-01-009
T-170	01	OF. CENTRAL ICEMM			11	2025	2025-11-30	39643.59				525000	13.24299842673179					910	910			Reversa T - 167: RECLASIFICA CUENTA GTO GENERALES OF CENTRAL	FCEE/5/78229878-K/INFINIA CONSULTING LIMITADA	1-2-01-009
T-170	01	OF. CENTRAL ICEMM			11	2025	2025-11-30	39643.59				7581266	191.2356070678765					910	910			Reversa T - 167: RECLASIFICA CUENTA GTO GENERALES OF CENTRAL	FACE/327/78710720-6/SERVICIOS SANVEST SPA	1-2-01-009
T-170	01	OF. CENTRAL ICEMM			11	2025	2025-11-30	39643.59				584795	14.75131288563927					910	910			Reversa T - 167: RECLASIFICA CUENTA GTO GENERALES OF CENTRAL	BX-9 JUAN CARRASCO-CAPACITACION SOFTWARE CONTABLE	1-2-01-009
T-170	01	OF. CENTRAL ICEMM			11	2025	2025-11-30	39643.59				-584795	-14.75131288563927					910	910			Reversa T - 167: RECLASIFICA CUENTA GTO GENERALES OF CENTRAL	BX-9 JUAN CARRASCO-CAPACITACION SOFTWARE CONTABLE	4-2-02-002
T-170	01	OF. CENTRAL ICEMM			11	2025	2025-11-30	39643.59				19980	0.5039906829830497					911	911			Reversa T - 167: RECLASIFICA CUENTA GTO GENERALES OF CENTRAL	F/1064687 UNIVERSIDAD DE CHILE	1-2-01-009
T-170	01	OF. CENTRAL ICEMM			11	2025	2025-11-30	39643.59				37500	0.9459284590522705					911	911			Reversa T - 167: RECLASIFICA CUENTA GTO GENERALES OF CENTRAL	FACE/5929/76025577-7/ZNETWORKS E.I.R.L.	1-2-01-009
T-170	01	OF. CENTRAL ICEMM			11	2025	2025-11-30	39643.59				671256	16.93227076558909					911	911			Reversa T - 167: RECLASIFICA CUENTA GTO GENERALES OF CENTRAL	FACE/994/76146217-2/GOOSE DESIGN SPA	1-2-01-009
T-170	01	OF. CENTRAL ICEMM			11	2025	2025-11-30	39643.59				-750227	-18.92429520131754					911	911			Reversa T - 167: RECLASIFICA CUENTA GTO GENERALES OF CENTRAL	NC/71/76146217-2/GOOSE DESIGN SPA	1-2-01-009
T-170	01	OF. CENTRAL ICEMM			11	2025	2025-11-30	39643.59				4600	0.1160338909770785					912	912			Reversa T - 167: RECLASIFICA CUENTA GTO GENERALES OF CENTRAL	BX-14887348 CBR- DERECHOS POR ACTUACION	1-2-01-009
T-170	01	OF. CENTRAL ICEMM			11	2025	2025-11-30	39643.59				45000	1.135114150862724					912	912			Reversa T - 167: RECLASIFICA CUENTA GTO GENERALES OF CENTRAL	BX-100893 VALERIA RONCHERA-MANDATO	1-2-01-009
T-171	01	OF. CENTRAL ICEMM			11	2025	2025-11-30	39643.59				823566	20.77425379487579					902	902			RECLASIFICA CUENTA GTO GENERALES OF CENTRAL	F/287178 Manager Software S.A.	4-2-04-006
T-171	01	OF. CENTRAL ICEMM			11	2025	2025-11-30	39643.59				823566	20.77425379487579					902	902			RECLASIFICA CUENTA GTO GENERALES OF CENTRAL	F/290913 MANAGER SOFTWARE S.A.	4-2-04-006
T-171	01	OF. CENTRAL ICEMM			11	2025	2025-11-30	39643.59				823566	20.77425379487579					902	902			RECLASIFICA CUENTA GTO GENERALES OF CENTRAL	NC/8626 MANAGER SOFTWARE S.A.	1-2-01-009
